'\\s+'	13,18,31,43,52,55,93,109,144,147,153,162,181,182,201,220,225,232,241,251,283,287,290,296,302,305,313,317,322,323,324,329,339,345,347,355,360,383,386,391,400,405,413,420,421,422,454,456,467,476,477,503,505,510,534,538,548,550,557,560,562,568,583,597,599,602,633,640,656,662,666,678,705,707,721,726,732,747,757,768,771,774,779,796,807,813,819,824,825,849,861,866,872,873,874,878,879,906,913,927,939,947,960,975,996,998,1001,1003,1004,1007,1008,1010,1012,1014,1025,1028,1039,1052,1086,1087,1116,1144,1158,1162,1179,1181,1199,1205,1216,1223,1227,1243,1247,1248,1249,1258,1267,1269,1288,1300,1302,1317,1322,1344,1383,1404,1407,1420,1432,1451,1453,1459,1463,1466,1469,1471,1480,1481,1488,1491,1495,1498,1501,1505,1506,1509,1510,1513,1517,1520,1531,1533,1535,1538,1553,1580,1592,1594,1600,1634,1637,1638
'\\s'	86,88,113,126,135,147,173,181,221,225,232,251,302,306,312,317,320,323,332,355,356,383,384,407,416,422,467,498,503,505,514,534,560,562,592,669,689,712,757,775,830,849,852,866,878,896,906,994,1004,1007,1012,1086,1087,1158,1184,1223,1248,1267,1301,1315,1331,1338,1348,1386,1403,1404,1420,1426,1466,1478,1488,1495,1511,1517,1555,1560,1565,1580,1598,1634,1644
'[\x80-\xff]'	12,55,72,73,113,147,181,233,245,247,251,287,288,302,305,323,340,355,381,412,422,436,459,492,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,919,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1263,1269,1292,1328,1364,1469,1495,1498,1501,1505,1509,1511,1517,1535,1580,1594,1634,1638
'\\d+'	12,23,93,96,126,153,251,252,262,267,268,308,322,389,394,407,412,421,467,487,505,534,560,639,642,743,747,759,766,782,826,833,852,922,961,971,999,1007,1009,1087,1097,1104,1113,1152,1199,1203,1216,1221,1223,1247,1248,1257,1271,1295,1300,1302,1317,1386,1415,1420,1461,1466,1469,1495,1501,1511,1536,1555,1580,1616,1640
'\\\\(.)'	12,82,89,220,225,251,287,302,305,323,355,386,407,412,422,436,510,557,559,602,759,774,814,849,852,866,878,925,927,936,961,995,1003,1004,1012,1025,1054,1068,1074,1075,1078,1086,1087,1104,1150,1158,1181,1184,1211,1221,1223,1269,1301,1322,1326,1328,1420,1439,1469,1470,1495,1498,1505,1509,1511,1517,1520,1536,1555,1580,1634
'^\\d+$'	43,115,122,153,190,283,302,323,332,339,355,356,391,407,422,518,538,560,566,670,682,689,727,735,787,832,849,850,851,866,872,878,884,892,990,1000,1004,1012,1015,1032,1054,1068,1086,1087,1092,1143,1158,1184,1247,1263,1269,1287,1288,1495,1517,1561,1569,1576,1580,1594,1634
'\\W'	82,89,153,173,225,287,306,322,391,418,433,467,505,510,534,552,560,602,606,740,757,774,858,872,909,927,1003,1004,1007,1010,1012,1014,1051,1064,1074,1075,1086,1087,1121,1127,1158,1183,1202,1223,1247,1320,1328,1355,1380,1420,1466,1470,1495,1506,1509,1510,1512,1526,1580
'\n'	12,36,110,171,225,232,283,287,306,322,356,381,412,464,467,505,518,534,554,560,566,602,662,757,759,787,796,852,961,993,1007,1015,1032,1054,1076,1087,1122,1143,1152,1153,1198,1221,1225,1248,1317,1331,1338,1353,1381,1404,1425,1466,1488,1501,1508,1509,1511,1580
'\\s*,\\s*'	82,89,113,241,251,302,323,355,422,433,526,533,796,849,866,873,878,927,990,1003,1004,1007,1012,1015,1025,1032,1046,1054,1074,1075,1086,1158,1170,1184,1198,1199,1202,1247,1248,1249,1263,1290,1300,1322,1415,1443,1469,1488,1491,1495,1517,1555,1569,1580,1594,1634,1642
'(\\s+)'	12,82,89,96,129,251,252,287,302,323,355,381,412,422,487,560,602,639,759,849,852,866,878,961,1004,1012,1054,1074,1075,1086,1087,1104,1158,1184,1221,1257,1386,1415,1469,1495,1509,1511,1517,1536,1555,1580,1634,1636
'^\\s*$'	12,18,31,182,200,241,287,296,322,339,407,412,433,467,498,505,534,557,602,633,692,738,747,759,819,852,927,958,961,1003,1025,1054,1087,1088,1199,1202,1221,1223,1235,1249,1300,1348,1412,1420,1466,1509,1511,1580
'(?m)^(?!$)'	12,82,89,287,302,323,355,412,422,518,602,662,759,774,787,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1248,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
' *$'	12,82,89,287,302,323,355,412,422,602,662,747,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'(?m)^\\s*?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,787,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
