'(-?(?:0|[1-9]\\d*))(\\.\\d+)?([eE][-+]?\\d+)?'	55,113,233,287,288,302,323,340,355,383,422,436,507,510,580,594,602,622,627,729,752,759,780,849,852,866,878,927,935,961,989,1003,1004,1007,1012,1015,1025,1032,1033,1054,1078,1086,1087,1122,1158,1184,1194,1199,1221,1247,1269,1328,1469,1495,1498,1501,1509,1511,1517,1580,1634
'^[ ]*(#.*)?$'	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'\n        # Source consists of a PS1 line followed by zero or more PS2 lines.\n        (?P<source>\n            (?:^(?P<indent> [ ]*) >>>    .*)    # PS1 line\n            (?:\\n           [ ]*  \\.\\.\\. .*)*)  # PS2 lines\n        \\n?\n        # Want consists of any non-blank lines that do not start with PS1.\n        (?P<want> (?:(?![ ]*$)    # Not a blank line\n                     (?![ ]*>>>)  # Not a line starting with PS1\n                     .*$\\n?       # But any other line\n                  )*)\n        '	12,82,89,287,302,323,355,412,422,602,662,759,774,849,852,866,878,961,1004,1012,1033,1050,1054,1074,1075,1086,1087,1115,1158,1184,1221,1257,1415,1495,1509,1511,1517,1536,1580,1594,1634
'^(([^:/?#]+):)?(//([^/?#]*))?([^?#]*)(\\?([^#]*))?(#(.*))?'	147,181,220,225,278,287,296,323,355,432,436,510,559,602,774,814,819,925,927,936,995,1003,1068,1104,1150,1211,1247,1263,1269,1301,1328,1366,1439,1469,1495,1498,1509,1536,1555,1580
'\r?\n'	12,113,190,287,412,433,537,602,700,759,852,927,961,1003,1054,1087,1120,1159,1202,1221,1240,1258,1269,1274,1415,1426,1469,1498,1509,1511,1544,1580
'(?:\\r\\n)?[ \\t]+'	220,323,355,436,510,559,728,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1416,1439,1469,1495,1498,1536,1555
'&(#?[xX]?(?:[0-9a-fA-F]+|\\w{1,8}));'	31,287,302,323,355,381,422,476,602,732,849,866,878,1004,1012,1054,1086,1087,1158,1184,1495,1509,1517,1580,1634
'^(?:\\s*(?:,\\s*)?([^ \\t\\r\\n=]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\\\\\"]|\\\\.)*?(?=\\")|(?<!\\")[^ \\t\\r\\n,]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'^(?:\\s*(?:,\\s*)?([^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+)\\s*=\\s*\\"?((?<=\\")(?:[^\\0-\\x08\\x0A-\\x1f\\x7f-\\xff\\\\\\"]|\\\\[\\0-\\x7f])*?(?=\\")|(?<!\\")[^\\0-\\x1f\\x7f-\\xff()<>@,;:\\\\\\"/[\\]?={} \\t]+(?!\\"))\\"?)(.*)$'	220,323,355,436,510,559,814,925,927,936,995,1003,1068,1104,1150,1211,1269,1301,1328,1439,1469,1495,1498,1536,1555
'^[ -~]{0,200}[!-~]$'	12,287,412,602,759,852,927,961,992,1003,1054,1087,1104,1221,1257,1269,1386,1415,1469,1498,1509,1511,1536,1580
'&#?\\w+;'	169,179,220,296,325,454,456,506,591,622,651,666,707,819,927,950,970,1003,1055,1076,1247,1469
'^\\s*(?:var)?char\\s*\\(\\s*(\\d+)\\s*\\)\\s*$'	82,89,302,323,355,422,849,866,878,923,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'^(-?\\d+)(\\d{3})'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'(\\d{4})-(\\d\\d?)-(\\d\\d?)$'	302,323,355,422,430,672,849,866,878,1004,1012,1086,1158,1184,1481,1495,1517,1538,1580,1634
'(\\d{1,2})\\.(\\d{1,2})\\.(\\d{1,2})'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1580,1634
'<(/?)\\s*b\\s*>'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1184,1495,1517,1580,1634
'<(/?)\\s*i\\s*>'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1184,1495,1517,1580,1634
'^(?:1-?)?(\\d{3})[-\\.]?(\\d{3})[-\\.]?(\\d{4})$'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1184,1495,1517,1634
'^(25[0-5]|2[0-4]\\d|[0-1]?\\d?\\d)(\\.(25[0-5]|2[0-4]\\d|[0-1]?\\d?\\d)){3}$'	82,89,302,323,355,422,849,866,878,1004,1012,1074,1075,1086,1158,1495,1517,1580,1634
'\\s*(#.*)?$'	287,487,498,602,662,1007,1033,1087,1172,1257,1263,1415,1469,1509,1536,1580,1594,1634
